특성,2019,2020,2021*,2022*
찾다,17.8%,7.1%,18.4%,10.8%
온라인 디스플레이*,17.4%,10.4%,13.4%,7.9%
TV(전체),-3.5%,-11.8%,8.8%,2.1%
주문형 비디오(VoD),15.5%,15.7%,14.3%,13.9%
온라인 분류*,-3.6%,-30.3%,20.4%,2.2%
다이렉트 메일,-10.7%,-34.3%,6.4%,-7.3%
집 밖(전체),7.6%,-46.3%,36.9%,19.2%
디지털 옥외광고(DOOH),15.1%,-40.2%,52.3%,24.6%
전국 뉴스 브랜드(전체),-1.5%,-24.2%,7.3%,0.5%
온라인 국내 뉴스브랜드,7%,0.5%,10.9%,7.7%
지역 뉴스브랜드(전체),-10.5%,-34.7%,3.9%,-1%
온라인 지역 뉴스브랜드,5%,-23.3%,7.3%,5.5%
잡지 브랜드(전체),-8.8%,-29.4%,6.8%,0.1%
온라인 잡지 브랜드,-2.3%,-24.5%,15.8%,4.6%
라디오(전체),-1.5%,-12.6%,12.9%,2.4%
온라인 라디오,8.6%,-5%,14%,5.6%
영화,23.3%,-81.7%,266.8%,61.1%
영국 총 광고비,6.9%,-7.2%,15.2%,7.2%
