특성,광고 수입,결제 및 기타 수수료 수익
2020년 4분기,4703,90
2020년 3분기,4202,28
2020년 2분기,3312,29
2020년 1분기,3236,21
2019년 4분기,3642,23
2019년 3분기,3243,24
2019년 2분기,2985,27
2019년 1분기,2670,12
2018년 4분기,2742,17
2018년 3분기,2406,16
2018년 2분기,2297,19
2018년 1분기,2080,11
2017년 4분기,2048,11
2017년 3분기,1749,11
2017년 2분기,1558,11
2017년 1분기,1361,14
2016년 4분기,1337,12
2016년 3분기,1137,17
2016년 2분기,1009,16
2016년 1분기,849,13
2015년 4분기,833,15
2015년 3분기,694,15
2015년 2분기,605,18
2015년 1분기,524,18
2014년 4분기,531,23
2014년 3분기,469,23
2014년 2분기,408,23
2014년 1분기,333,21
2013년 4분기,318,23
2013년 3분기,255,23
2013년 2분기,225,22
2013년 1분기,176,21
