특성,독립 지출,모금된 총액
우리의 미래를 복원하세요(롬니 지원),142.66,131.69
아메리칸 크로스로드(보수적),124.14,80.09
우선순위 미국 행동(오바마 지지),77.71,63.9
다수 (자유주의),38.67,34.92
하원 다수당(자유당),30.78,27.74
Freedomworks for America(보수주의자),19.23,15.42
성장행동클럽(보수),19.02,17.21
미래를 위한 승리(Gingrich 지원),17.0,23.92
서비스종사자국제노조(자유주의),16.44,13.42
지출기금 종료(보수적),15.34,13.39
의회 리더십 기금(보수),9.62,10.8
미국 독립(자유주의),8.17,0.0
여성 투표! (많은),8.01,8.03
지금 아니면 절대로,7.76,2.74
"빨간색, 흰색, 파란색(Santorum 지원)",7.53,8.52
가족 계획 투표(자유주의),7.14,5.77
AFL-CIO 노동자의 목소리(자유주의),5.9,15.46
텍사스 보수주의자 기금(보수주의자),5.87,6.36
YG액션펀드(보수),5.79,5.93
전국부동산협회,5.1,2.83
버지니아 독립(보수),4.92,2.62
자유(보수),4.75,2.95
자유를 지지하다 (폴을 지지하다),4.32,3.8
우리를 다시 위대하게 만드세요(페리 지원),3.96,5.61
플로리다 프리덤(자유당),3.32,5.9
우리의 운명(Huntsman 지원),2.8,3.19
미국 통일(보수),2.76,2.0
보존 유권자 연맹(자유당),2.7,2.07
FSA (자유주의),2.5,1.17
보물해안 일자리 연합(보수),2.44,2.16
