특성,2014년,2015년,2016년,2017년,2018,2019
12월,416.32,425.98,417.84,652.37,650.35,-
11월,275.4,282.02,301.11,465.41,448.33,-
10월,131.21,134.8,129.34,224.71,228.99,-
9월,132.07,116.8,93.7,198.05,175.88,-
8월,110.05,97.0,99.31,166.96,170.96,-
7월,108.18,105.35,96.11,171.19,170.07,-
준,106.77,100.22,90.51,165.84,167.65,-
5월,100.16,90.65,85.35,153.39,155.31,-
4월,103.77,94.64,86.07,188.66,152.99,162.35
망치다,102.77,95.45,98.92,190.56,178.56,163.23
2월,75.87,91.44,75.94,125.19,130.91,134.17
1월,85.09,79.25,76.68,141.98,152.31,172.08
