특성,패션과 가죽제품,선택적 소매**,향수 및 화장품,와인과 주류,시계 및 주얼리,기타 활동 및 처치
2020,21207,10155,5248,4755,3356,-70
2019,22237,14791,6835,5576,4405,-174
2018,18455,13646,6092,5143,4123,-633
2017년,15472,13311,5560,5084,3805,-596
2016년,12775,11973,4953,4835,3468,-404
2015년,12369,11193,4671,4603,3308,-480
2014년,10828,9534,3916,3973,2782,-395
2013*,9883,8903,3717,4173,2697,-357
2012*,9926,7843,3613,4122,2750,-284
2011년,8712,6436,3195,3524,1949,-157
2010년,7581,5378,3076,3261,985,39
2009년,6302,4533,2741,2740,764,-27
2008년,6010,4376,2868,3126,879,-66
