특성,남성,안
2020년 4분기,35.98%,37.16%
2020년 3분기,35.67%,38.93%
2020년 2분기,35.83%,38.2%
2020년 1분기,29.62%,30.72%
2019년 4분기,26.36%,29.36%
2019년 3분기,27.32%,31.62%
2019년 2분기,28.49%,32.26%
2019년 1분기,30.78%,33.38%
2018년 4분기,30.78%,30.79%
2018년 3분기,31.24%,28.75%
2018년 2분기,31.93%,29.86%
2018년 1분기,34.05%,30.4%
2017년 4분기,34.14%,33.74%
2017년 3분기,33.84%,31.37%
2017년 2분기,37.45%,34.69%
2017년 1분기,39.46%,37.15%
2016년 4분기,40.29%,39.31%
2016년 3분기,39.35%,39.18%
2016년 2분기,42.59%,44.18%
2016년 1분기,41.53%,45.23%
2015년 4분기,41.93%,43.2%
2015년 3분기,43.11%,42.65%
2015년 2분기,46.49%,43.94%
2015년 1분기,49.25%,46.02%
2014년 4분기,49.27%,48.44%
2014년 3분기,50.16%,48.83%
2014년 2분기,50.79%,49.09%
2014년 1분기,53.66%,51.96%
