특성,혼자 백인,흑인 또는 아프리카계 미국인 혼자,"아메리칸 인디언, 알래스카 원주민 단독",아시아인 혼자,하와이 원주민 및 기타 태평양 섬주민 단독,2개 이상의 경주
"뉴욕-뉴저지 북부-롱아일랜드, NY-NJ-PA",13139259,3676314,95997,1829097,23606,305523
로스앤젤레스-롱비치-캘리포니아주 산타아나,9652130,979444,123265,1820552,45139,254267
"Chicago-Naperville-Joliet, 일리노이 위스콘신",7176654,1715530,37639,519852,8480,122412
"댈러스-포트워스-알링턴, 텍사스",5031690,937999,50072,317311,9871,100672
"휴스턴-슈거랜드-베이타운, 텍사스",4379450,1009716,37949,352808,7691,79875
"필라델피아-캠든-윌밍턴, PA-NJ-DE-MD",4336844,1256380,17216,271746,4038,82028
"마이애미-포트로더데일-폼파노 비치, 플로리다",4149312,1162729,27023,130269,7284,70434
"보스턴-캠브리지-퀸시, MA-NH",3859639,362075,12936,282035,3552,68443
"워싱턴-알링턴-알렉산드리아, DC-VA-MD-WV",3394264,1456689,23331,482463,6542,112952
"애틀랜타-샌디스프링스-마리에타, 조지아",3390705,1741850,22464,235823,4836,79535
