특성,매치데이,방송,광고
FC 바르셀로나,159.2,298.1,383.5
레알 마드리드,144.8,257.9,354.6
맨체스터 유나이티드,120.6,273.7,317.2
바이에른 뮌헨,92.4,211.2,356.5
파리 생제르맹,115.9,156.6,363.4
맨체스터시,62.4,287.2,261.0
리버풀,94.5,299.3,210.9
토트넘 홋스퍼,92.5,276.7,151.9
첼시,75.6,227.1,210.4
유벤투스,65.6,208.5,185.6
병기고,109.2,210.6,125.8
보루시아 도르트문트,59.6,167.3,150.2
아틀레티코 데 마드리드,58.6,209.4,99.6
FC 인테르나치오날레 밀라노,50.9,159.2,154.5
샬케 04,53.6,161.1,110.1
AS 로마,31.8,144.5,54.7
올림피크 리옹,41.8,122.0,57.0
웨스트햄 유나이티드,30.8,144.5,41.1
에버턴,16.6,151.7,44.7
SSC 나폴리,15.9,145.1,46.4
