특성,홀리데이 하우스,호텔,리조트,캠프장,호스텔
2019년 3월,654054,1157657,198321,135469,142434
2020년 3월,652439,406578,93934,104880,60111
2019년 4월,1812727,1308625,351375,875334,195911
2020년 4월,602743,107348,59999,476907,20625
2019년 5월,1603474,1556017,301699,1109087,229538
2020년 5월,696795,226550,75324,938599,32854
2019년 6월,2162803,1680600,370207,1570749,223452
2020년 6월,1741716,561520,184394,1247009,67462
2019년 7월,4484063,2198498,775386,3877944,305971
2020년 7월,4838850,1609883,768211,4235911,250793
2019년 8월,3321611,1987151,506111,2050612,271577
2020년 8월,4143368,1207821,450095,2337984,167271
