특성,디지털 콘텐츠,아케이드 운영,오락 장비,기타 사업
2020년 4월 1일 ~ 2021년 3월 31일,75.3,9.87,7.09,3.05
2019년 4월 1일 ~ 2020년 3월 31일,59.94,12.1,6.53,3.01
2018년 4월 1일 ~ 2019년 3월 31일,82.98,11.05,3.42,2.58
2017년 4월 1일 ~ 2018년 3월 31일,74.14,10.23,7.8,2.34
2016년 4월 1일 ~ 2017년 3월 31일,58.7,9.53,16.86,2.08
2015년 4월 1일 ~ 2016년 3월 31일,52.58,9.06,13.34,2.04
2014년 4월 1일 ~ 2015년 3월 31일,45.35,9.24,7.54,2.14
2013년 4월 1일 ~ 2014년 3월 31일,65.82,10.62,23.16,2.59
2012년 4월 1일 ~ 2013년 3월 31일,63.64,10.94,16.78,2.71
2011년 4월 1일 ~ 2012년 3월 31일,59.81,11.73,7.66,2.86
2010년 4월 1일 ~ 2011년 3월 31일,74.3,11.62,7.9,3.89
2009년 4월 1일 ~ 2010년 3월 31일,47.25,11.99,4.55,3.05
2008년 4월 1일 ~ 2009년 3월 31일,66.62,13.51,8.93,2.82
2007년 4월 1일 ~ 2008년 3월 31일,55.85,13.41,10.93,2.95
