특성,미국 달러로 표시된 최저 임금
컬럼비아 특별구,15.0
캘리포니아*,14.0
위스콘신,13.69
워싱턴,13.69
매사추세츠 주,13.5
뉴욕******,12.5
콜로라도,12.32
메인,12.15
애리조나,12.15
코네티컷,12.0
뉴저지,12.0
오리건,12.0
메릴랜드,11.75
버몬트,11.75
로드 아일랜드,11.5
아칸소,11.0
일리노이,11.0
뉴 멕시코,10.5
알래스카,10.34
미주리,10.3
하와이,10.1
미네소타***,10.08
미시간,9.65
사우스다코타,9.45
델라웨어,9.25
네바다*****,9.0
네브라스카,9.0
오하이오*****,8.8
몬타나****,8.75
웨스트 버지니아,8.75
플로리다,8.65
펜실베니아,7.25
오클라호마********,7.25
켄터키,7.25
캔자스,7.25
아이오와,7.25
인디애나,7.25
여자 이름,7.25
아이다호,7.25
노스 다코타,7.25
뉴햄프셔,7.25
텍사스,7.25
유타,7.25
노스 캐롤라이나,7.25
그루지야**,5.15
와이오밍,5.15
