특성,백만 GBP 단위의 출력 값
11월 20일,442
10월 20일,457
9월 20일,422
8월 20일,446
7월 20일,433
6월 20일,301
5월 20일,235
4월 20일,184
3월 20일,539
2월 20일,578
1월 20일,589
12월 19일,596
11월 19일,615
10월 19일,617
9월 19일,604
8월 19일,596
7월 19일,571
6월 19일,626
5월 19일,590
4월 19일,581
3월 19일,555
2월 19일,541
1월 19일,536
12월 18일,557
11월 18일,508
10월 18일,499
9월 18일,517
8월 18일,495
7월 18일,501
6월 18일,486
5월 18일,468
4월 18일,478
3월 18일,472
2월 18일,460
1월 18일,442
12월 17일,526
11월 17일,512
10월 17일,468
9월 17일,500
8월 17일,493
7월 17일,490
6월 17일,461
5월 17일,505
4월 17일,474
3월 17일,485
2월 17일,461
1월 17일,449
