특성,사망자 수
"토론토, 온타리오",38834
"몬트리올, 퀘벡",35245
"밴쿠버, 브리티시컬럼비아",16353
"오타와-가티노, 온타리오/퀘벡",10050
"에드먼턴, 앨버타",8752
"캘거리, 앨버타",7791
"해밀턴, 온타리오",7102
"위니펙, 매니토바",6685
"퀘벡, 퀘벡",6457
"세인트 캐서린스-나이아가라, 온타리오",4797
"런던, 온타리오",4663
"키치너-캠브리지-워털루, 온타리오",4279
"빅토리아, 브리티시컬럼비아",3687
"핼리팩스, 노바스코샤",3222
"윈저, 온타리오",3207
"오샤와, 온타리오",3131
"새스커툰, 서스캐처원",2130
"킬로나, 브리티시컬럼비아",1959
"레지나, 서스캐처원",1869
"그레이터 서드베리, 온타리오",1814
"세인트존스, 뉴펀들랜드 앤 래브라도",1747
"셔브룩, 퀘벡",1715
"킹스턴, 온타리오",1687
"트루아리비에르, 퀘벡",1670
"배리, 온타리오",1663
"사기네이, 퀘벡",1566
"썬더베이, 온타리오",1531
"브랜트퍼드, 온타리오",1525
"피터버러, 온타리오",1524
"애버츠퍼드-미션, 브리티시컬럼비아",1497
뉴브런즈윅주 세인트존,1391
"멍크턴, 뉴브런즈윅",1326
"궬프, 온타리오",1254
