특성,인구 변화율
"오스틴-라운드록-조지타운, 텍사스",29.8%
노스캐롤라이나주 롤리캐리,23%
"올랜도-키시미-샌포드, 플로리다",22.2%
"찰스턴-노스 찰스턴, SC",20.7%
"휴스턴-더 우드랜즈-슈거 랜드, 텍사스",19.4%
"노스 포트-새러소타-브레이든턴, 플로리다",19.2%
"샌안토니오-뉴브라운펠스, 텍사스",19.1%
"댈러스-포트워스-알링턴, 텍사스",19%
애리조나주 피닉스-메사-챈들러,18%
"샬럿-콩코드-가스토니아, NC-SC",17.5%
"내슈빌-데이비슨--머프리스버러--프랭클린, 테네시",17.5%
콜로라도주 덴버-오로라-레이크우드,16.7%
"라스베가스-헨더슨-파라다이스, 네바다",16.2%
"잭슨빌, 플로리다",15.9%
워싱턴주 시애틀-타코마-벨뷰,15.7%
"탬파-세인트 피터스버그-클리어워터, 플로리다",14.8%
"애틀랜타-샌디스프링스-알파레타, 조지아",13.9%
유타주 솔트레이크시티,13.3%
"오클라호마 시티, OK",12.4%
"매캘런-에딘버그-미션, 텍사스",12.1%
