특성,순자산(10억 달러)
카를로스 슬림 헬루(멕시코),74.0
빌 게이츠(미국),56.0
"베르나르 아르노, 프랑스",41.0
"락쉬미 미탈, 인도",31.1
"아만시오 오르테가, 스페인",31.0
"에이케 바티스타, 브라질",30.0
리카싱(홍콩),26.0
"칼 알브레히트, 독일",25.5
"스테판 페르손, 스웨덴",24.5
"블라디미르 리신, 러시아",24.0
"데이비드 톰슨, 캐나다",23.0
사우디아라비아 알왈리드 빈 탈랄 알사우드 왕자,19.6
아이리스 폰보나(칠레),19.2
"미켈레 페레로, 이탈리아",18.0
리나트 아크메토프(우크라이나),16.0
나이지리아 알리코 단고테,13.8
제럴드 캐번디시 그로스베너(영국),13.0
로버트 쿠옥(말레이시아),12.5
존 프레드릭슨(키프로스),10.7
"루이스 카를로스 사르미엔토, 콜롬비아",10.5
"나세르 알 카라피, 쿠웨이트",10.4
새미 오퍼(이스라엘),10.3
"에르네스토 베르타렐리, 스위스",10.0
중국 량웬겐,9.3
페트르 켈너(체코),9.2
"지나 라인하트, 호주",9.0
"이건희, 한국",8.6
"손 마사요시, 일본",8.1
"샤를린 드 카르발류-하이네켄, 네덜란드",7.5
"Cher Wang과 Wenchi Chen, 대만",6.8
"나세프 사위리스, 이집트",5.6
카를로스 불가로니와 알레한드로 불가로니(아르헨티나),5.1
디트리히 마테시츠(오스트리아),5.0
"스피로 라트시스, 그리스",4.8
"Kjeld Kirk Kristiansen, 덴마크",4.7
