특성,순고용 전망*
사우스캐롤라이나주 그린빌-몰딘-이즐리,24%
테네시주 녹스빌,24%
뉴욕 주 시러큐스,21%
오클라호마주 털사,20%
"오클라호마시티, 오클라호마",20%
"포틀랜드-사우스 포틀랜드-비데퍼드, 메인",19%
콜로라도주 덴버-오로라,18%
"브리지포트-스탬포드-노워크, 코네티컷",18%
오하이오주 콜럼버스,18%
"보이시 시티-남파, 아이다호",17%
"그랜드 래피즈-와이오밍, 미시간",17%
"디모인-웨스트 디모인, 아이오와",17%
애리조나주 피닉스-메사-스코츠데일,17%
"뉴욕-뉴저지 북부-롱아일랜드, 뉴욕-뉴저지-펜실베니아",6%
미시시피주 잭슨,6%
"레이크랜드-윈터 헤이븐, 플로리다",6%
네바다주 라스베가스 파라다이스,5%
"프로비던스-뉴베드퍼드-폴리버, 로드아일랜드-매사추세츠",5%
"로체스터, 뉴욕",4%
펜실베이니아주 스크랜턴-윌크스-배러,삼%
네바다주 리노-스팍스,삼%
캘리포니아주 새크라멘토-아덴-아케이드-로즈빌,삼%
"잭슨빌, 플로리다",2%
