특성,출하량 점유율
2021년 1분기,21.8%
2020년 4분기,19.1%
2020년 3분기,22.7%
2020년 2분기,19.5%
2020년 1분기,21.1%
'19년 4분기,18.8%
'19년 3분기,21.8%
2019년 2분기,22.7%
'19년 1분기,23.1%
'18년 4분기,18.8%
'18년 3분기,20.3%
'18년 2분기,21%
'18년 1분기,23.5%
'17년 4분기,18.9%
'17년 3분기,22.1%
2017년 2분기,22.9%
'17년 1분기,23.3%
'16년 4분기,18%
'16년 3분기,20.9%
'16년 2분기,22.4%
'16년 1분기,23.8%
'15년 4분기,20.4%
'15년 3분기,23.3%
'15년 2분기,21.7%
'15년 1분기,24.6%
'14년 4분기,19.9%
'14년 3분기,23.9%
'14년 2분기,24.8%
'14년 1분기,30.7%
'13년 4분기,28.83%
'13년 3분기,32.5%
'13년 2분기,32.3%
'13년 1분기,31.9%
'12년 4분기,29.1%
'12년 3분기,31.1%
2012년 2분기,32.2%
'12년 1분기,28.8%
'11년 4분기,22.5%
'11년 3분기,22.7%
'11년 2분기,17%
'11년 1분기,11.3%
'10년 4분기,9.4%
'10년 3분기,8.8%
'10년 2분기,5.6%
'10년 1분기,4.3%
2009년 4분기,3.3%
2009년 3분기,삼%
2009년 2분기,삼%
