특성,월간 활성 사용자 수(백만)
'19년 1분기,330.0
'18년 4분기,321.0
'18년 3분기,326.0
'18년 2분기,335.0
'18년 1분기,336.0
'17년 4분기,330.0
'17년 3분기,330.0
2017년 2분기,326.0
'17년 1분기,327.0
'16년 4분기,318.0
'16년 3분기,317.0
'16년 2분기,313.0
'16년 1분기,310.0
'15년 4분기,305.0
'15년 3분기,307.0
'15년 2분기,304.0
'15년 1분기,302.0
'14년 4분기,288.0
'14년 3분기,284.0
'14년 2분기,271.0
'14년 1분기,255.0
'13년 4분기,241.0
'13년 3분기,231.7
'13년 2분기,218.0
'13년 1분기,204.0
'12년 4분기,185.0
'12년 3분기,167.0
2012년 2분기,151.0
'12년 1분기,138.0
'11년 4분기,117.0
'11년 3분기,101.0
'11년 2분기,85.0
'11년 1분기,68.0
'10년 4분기,54.0
'10년 3분기,49.0
'10년 2분기,40.0
'10년 1분기,30.0
