특성,수백만 명의 사용자 수
2021년 1분기,258
2020년 4분기,240
2020년 3분기,249
2020년 2분기,271
2020년 1분기,273
'19년 4분기,249
'19년 3분기,247
2019년 2분기,258
'19년 1분기,272
'18년 4분기,268
18년 3분기,262
'18년 2분기,270
'18년 1분기,285
'17년 4분기,290
'17년 3분기,293
2017년 2분기,314
'17년 1분기,342
'16년 4분기,355
'16년 3분기,394
'16년 2분기,409
'16년 1분기,463
'15년 4분기,449
'15년 3분기,474
'15년 2분기,501
'15년 1분기,550
'14년 4분기,533
'14년 3분기,495
'14년 2분기,485
'14년 1분기,481
'13년 4분기,408
'13년 3분기,361
'13년 2분기,265
'13년 1분기,138
'12년 4분기,67
'12년 3분기,52
2012년 2분기,49
'12년 1분기,30
