특성,GDP(10억 달러)
2026*,3538.7
2025*,3442.45
2024*,3342.41
2023*,3242.5
2022*,3138.87
2021*,2938.27
2020,2598.91
2019,2717.2
2018,2791.16
2017년,2594.24
2016년,2472.28
2015년,2439.44
2014년,2856.7
2013년,2811.92
2012,2685.37
2011년,2864.65
2010년,2647.35
2009년,2697.96
2008년,2929.98
2007년,2660.91
2006년,2320.66
2005년,2198.16
2004년,2118.67
2003년,1844.08
2002년,1500.35
2001년,1377.67
2000,1366.24
1999년,1494.63
1998년,1505.18
1997년,1454.56
1996년,1606.04
1995년,1602.13
1994년,1396.65
1993년,1324.24
1992년,1404.39
1991년,1273.59
1990년,1272.43
1989년,1026.18
1988년,1020.88
1987년,935.12
1986년,772.84
