특성,티켓 가격(미국 달러)
라스베거스 레이더스,153.47
샌프란시스코 포티나이너스,139.71
뉴잉글랜드 패트리어츠,131.45
그린 베이 패커스,128.93
필라델피아 이글스,127.06
시카고 베어스,122.9
휴스턴 텍산스,118.07
시애틀 시호크스,117.86
뉴욕 자이언츠,115.31
피츠버그 스틸러스,114.24
워싱턴 풋볼팀,113.46
볼티모어 레이븐스,110.53
캐롤라이나 팬더스,109.81
미네소타 바이킹스,108.79
애틀랜타 팔콘스,106.06
덴버 브롱코스,104.99
NFL 평균,104.73
뉴올리언스 세인츠,104.5
로스앤젤레스 램스,101.62
달라스 카우보이스,99.5
인디애나폴리스 콜츠,95.98
캔자스시티 치프스,94.63
뉴욕 제츠,94.16
테네시 타이탄스,92.16
디트로이트 라이온스,91.89
탬파베이 버커니어스,89.48
애리조나 카디널스,84.83
마이애미 돌핀스,84.36
클리블랜드 브라운스,82.82
잭슨빌 재규어스,80.09
신시내티 벵골스,79.37
로스앤젤레스 차저스,78.38
버팔로 빌스,74.95
