특성,건강 지수(2013 = 100)
'20년 8월,110.2
2020년 7월,110.16
2020년 6월,110.05
20년 5월,110.1
2020년 4월,110.22
2020년 3월,109.96
2020년 2월,109.87
2020년 1월,109.72
19년 12월,109.18
'19년 11월,109.0
10월 19일,108.98
'19년 9월,108.58
'19년 8월,109.07
'19년 7월,109.07
19년 6월,109.02
19년 5월,108.89
'19년 4월,108.98
'19년 3월,109.04
'19년 2월,108.78
19년 1월,108.5
'18년 12월,108.45
'18년 11월,108.48
18년 10월,108.26
'18년 9월,107.52
'18년 8월,107.55
'18년 7월,107.44
18년 6월,107.01
18년 5월,106.99
'18년 4월,106.89
'18년 3월,106.71
'18년 2월,106.54
'18년 1월,106.37
