특성,수백만 달러의 인증된 판매
이글스(Eagles) - 이글스/그들의 최고 히트곡 1971-1975,38
마이클 잭슨 - 스릴러,33
이글스 - 호텔 캘리포니아,26
AC/DC - 블랙으로 돌아옴,25
비틀즈 - 비틀즈,24
레드 제플린 - Led Zeppelin IV,23
빌리 조엘(Billy Joel) - Greatest Hits Volume I & Volume II,23
핑크 플로이드 - 더 월,23
가스 브룩스 - 더블 라이브,21
Hootie & The Blowfish - 금이 간 후면 모습,21
플리트우드 맥 - 소문,20
샤니아 트웨인 - 컴 온 오버,20
건즈 앤 로지스(Guns N' Roses) - 파괴에 대한 식욕,18
휘트니 휴스턴 - 보디가드(사운드트랙),18
가스 브룩스 - 울타리 없음,18
엘튼 존(Elton John) - 최고의 히트곡,17
보스턴 - 보스턴,17
비틀즈 - 비틀즈 1967-1970,17
Alanis Morissette - 들쭉날쭉한 작은 알약,16
Bee Gees - Saturday Night Fever(사운드트랙),16
Led Zeppelin-물리적 낙서,16
메탈리카 - 메탈리카,16
