특성,시장 점유율
12월 20일,11.78%
11월 20일,8.87%
10월 20일,8.47%
9월 20일,8.33%
8월 20일,10.08%
7월 20일,8.93%
6월 20일,8.55%
5월 20일,5.91%
4월 20일,4.86%
3월 20일,9.01%
2월 20일,11.24%
1월 20일,8.84%
12월 19일,9.86%
11월 19일,9.78%
10월 19일,9.59%
9월 19일,5.72%
8월 19일,12.24%
7월 19일,9.66%
6월 19일,9.16%
5월 19일,8.57%
4월 19일,9.41%
3월 19일,8.37%
2월 19일,9.71%
1월 19일,8.21%
12월 18일,11.11%
11월 18일,9.94%
10월 18일,8.9%
9월 18일,4.81%
8월 18일,11.96%
7월 18일,10.23%
6월 18일,9.88%
5월 18일,9.39%
4월 18일,8.7%
3월 18일,7.98%
2월 18일,8.71%
1월 18일,7.69%
12월 17일,10.06%
11월 17일,8.55%
10월 17일,8.7%
9월 17일,8.53%
8월 17일,9.06%
7월 17일,8.7%
6월 17일,9.3%
5월 17일,8.41%
4월 17일,6.55%
3월 17일,7.02%
2월 17일,8.81%
1월 17일,7.43%
12월 16일,8.78%
