특성,Times Higher Education 점수
옥스퍼드 대학교(영국),95.6
케임브리지대학교(영국),94.0
임페리얼 칼리지 런던(영국),89.4
ETH 취리히 – 스위스 연방 공과대학교 취리히(CH),87.9
유니버시티 칼리지 런던(영국),86.9
런던 경제 및 정치 과학 학교 (영국),81.4
에딘버러 대학교(영국),79.4
루트비히-막시밀리안스-Universität München(GE),78.2
킹스 칼리지 런던(영국),76.1
카롤린스카 연구소(SE),76.0
뮌헨 공과대학(GE),74.8
하이델베르그 대학교(GE),74.3
École Polytechnique Fédérale de Lausanne (CH),74.1
KU 루벤(BE),73.7
파리 과학 및 문학 – PSL 연구 대학,73.6
맨체스터대학교(영국),70.9
Wageningen 대학 및 연구 센터(NE),69.4
암스테르담 대학교(NE),68.8
레이던 대학교(NE),66.7
에라스무스 대학교 로테르담(NE),66.2
