서비스 기간,참전용사 수
"걸프전(2001년 9월 이후), 걸프전 없음(1990년 8월 ~ 2001년 8월), 베트남 시대 없음",2449751
"걸프전(2001년 9월 이후) 및 걸프전(1990년 8월~2001년 8월), 베트남 시대 없음",1257922
"걸프전(2001년 9월 이후), 걸프전(1990년 8월~2001년 8월), 베트남 시대",65035
"걸프전(1990년 8월 ~ 2001년 8월), 베트남 시대 없음",2233613
걸프전(1990년 8월~2001년 8월)과 베트남 시대,278423
"베트남 시대, 한국 전쟁 없음, 제2차 세계대전 없음",5735736
"베트남 시대와 한국전쟁, 제2차 세계대전은 아님",101789
"베트남 시대와 한국전쟁, 그리고 제2차 세계대전",11894
"한국전쟁도 없고, 베트남 시대도 없고, 제2차 세계대전도 없다",1013648
"한국전쟁과 2차 세계대전, 베트남 시대는 없었다",28765
"제2차 세계대전도 없고, 한국전쟁도 없고, 베트남 시대도 없다",339668
걸프전과 베트남 시대 사이에만,2508911
베트남 시대와 한국 전쟁 사이에만,1338116
한국전쟁과 제2차 세계대전 사이에만,53111
제2차 세계대전 이전에만 해당,1969
