회사 (원산지),총 소매 수익 대비 비율
쇼핑 다이렉트 그룹(영국),100%
Amazon.com(미국),100%
Vipshop Holdings (중국),100%
JD.com Inc.(중국),100%
잘란도 SE(독일),100%
Otto GmbH & Co KG(독일),68%
리버티 인터랙티브 코퍼레이션(미국),51.5%
Home Retail Group PLC(영국),47.4%
Apple Inc.(미국),46.5%
Suning Commerce Group Co. Ltd. (중국),37.1%
John Lewis Partnership plc (영국),20.2%
"Nordstrom, Inc.(미국)",20.1%
메이시스(미국),17.9%
Kohl's Corporation (미국),14.6%
Best Buy Co. Inc. (영국),10.1%
테스코 PLC (영국),8.1%
카지노 Guichard-Perrachon S.A.(프랑스),7.3%
The Home Depot Inc.(미국),5.3%
코스트코 도매사업(미국),삼%
월마트 매장(미국),2.8%
