특성,식료품점 방문 비율 변화
2020년 3월 3일,-11%
1020년 3월 1일,-5%
2020년 2월 29일,12%
2020년 2월 28일,8%
2020년 2월 27일,-9%
2020년 2월 26일,-16%
2020년 2월 25일,-삼%
2020년 2월 24일,삼%
2020년 2월 23일,34%
2020년 2월 22일,32%
2020년 2월 21일,-1%
2020년 2월 20일,-13%
2020년 2월 19일,-11%
2020년 2월 18일,-19%
2020년 2월 17일,-13%
2020년 2월 16일,2%
2020년 2월 15일,0%
2020년 2월 14일,5%
2020년 2월 13일,-19%
2020년 2월 12일,-6%
2020년 2월 11일,-10%
2020년 2월 10일,-2%
2020년 2월 9일,-19%
2020년 2월 8일,17%
2020년 2월 7일,13%
2020년 2월 6일,-삼%
2020년 2월 5일,-7%
2020년 2월 4일,-12%
2020년 2월 3일,10%
2020년 2월 2일,-21%
2020년 2월 1일,22%
