특성,영향을 받는 브랜드 수
2020년 10월,532
2020년 7월,478
2020년 4월,364
2020년 1월,374
19년 10월,333
'19년 7월,444
'19년 4월,341
19년 1월,327
18년 10월,293
'18년 7월,231
'18년 4월,274
'18년 1월,235
'17년 10월,348
'17년 7월,277
'17년 4월,460
'17년 1월,424
'16년 10월,357
'16년 7월,358
'16년 4월,411
'16년 1월,431
'15년 10월,391
'15년 7월,434
'15년 4월,393
'15년 1월,420
'14년 10월,271
'14년 7월,361
'14년 4월,332
'14년 1월,384
'13년 10월,350
'13년 7월,390
'13년 4월,441
'13년 1월,402
'12년 10월,401
'12년 7월,426
'12년 4월,428
'12년 1월,370
2011년 10월,311
'11년 7월,317
2011년 4월,333
'11년 1월,335
2010년 10월,317
'10년 7월,274
2010년 4월,270
'10년 1월,265
2009년 10월,356
2009년 7월,261
2009년 4월,273
2009년 1월,294
