특성,백만 캐나다 달러 매출
2020년 3분기,832.71
2020년 2분기,453.54
2020년 1분기,525.87
2019년 4분기,1043.86
2019년 3분기,929.32
2019년 2분기,749.02
2019년 1분기,631.17
2018년 4분기,1042.86
2018년 3분기,949.58
2018년 2분기,767.78
2018년 1분기,640.07
2017년 4분기,1081.83
2017년 3분기,945.23
2017년 2분기,779.13
2017년 1분기,648.62
2016년 4분기,1013.71
2016년 3분기,886.62
2016년 2분기,725.5
2016년 1분기,646.55
2015년 4분기,1065.79
2015년 3분기,894.08
2015년 2분기,765.71
2015년 1분기,675.82
2014년 4분기,1029.9
2014년 3분기,884.95
2014년 2분기,766.2
2014년 1분기,595.8
2013년 4분기,930.08
2013년 3분기,806.83
2013년 2분기,714.25
2013년 1분기,606.9
2012년 4분기,952.35
2012년 3분기,811.31
2012년 2분기,719.53
2012년 1분기,613.53
