특성,10억 달러 수출
2020년 2분기,444.65
2020년 1분기,605.55
'19년 4분기,632.47
'19년 3분기,630.19
2019년 2분기,631.39
'19년 1분기,634.21
'18년 4분기,634.73
'18년 3분기,634.63
'18년 2분기,639.68
'18년 1분기,630.35
'17년 4분기,618.09
'17년 3분기,595.23
2017년 2분기,587.17
'17년 1분기,586.89
'16년 4분기,570.24
'16년 3분기,567.61
'16년 2분기,553.8
'16년 1분기,546.27
'15년 4분기,557.27
'15년 3분기,567.8
'15년 2분기,567.27
'15년 1분기,578.4
'14년 4분기,598.58
'14년 3분기,602.44
'14년 2분기,600.9
'14년 1분기,590.36
'13년 4분기,590.11
'13년 3분기,577.11
'13년 2분기,573.41
'13년 1분기,572.62
'12년 4분기,566.82
'12년 3분기,562.9
2012년 2분기,561.72
'12년 1분기,556.02
'11년 4분기,545.89
'11년 3분기,547.84
'11년 2분기,534.59
'11년 1분기,515.24
'10년 4분기,498.37
'10년 3분기,473.16
'10년 2분기,457.15
'10년 1분기,443.65
