특성,총 급여(백만 달러)
뉴욕 양키스,254.19
로스앤젤레스 다저스,227.83
휴스턴 애스트로스,215.39
보스턴 레드삭스,191.05
시카고 컵스,190.38
필라델피아 필리스,183.7
로스앤젤레스 에인절스,179.59
세인트루이스 카디널스,169.34
뉴욕 메츠,168.68
워싱턴 내셔널스,168.64
샌프란시스코 자이언츠,163.2
애틀랜타 브레이브스,159.33
콜로라도 로키스,157.28
텍사스 레인저스,153.59
샌디에이고 파드레스,153.12
신시내티 레즈,143.14
미네소타 트윈스,138.6
시카고 화이트삭스,130.25
애리조나 다이아몬드백스,120.21
토론토 블루제이스,110.76
디트로이트 타이거스,105.53
시애틀 매리너스,102.71
밀워키 브루어스,100.66
오클랜드 애슬레틱스,95.46
클리블랜드 인디언스,91.76
캔자스시티 로열스,86.58
탬파베이 레이스,72.1
피츠버그 파이어리츠,63.31
볼티모어 오리올스,59.99
마이애미 말린스,58.99
