특성,수익(단위: 백만 달러)
2020년 4분기,617.36
2020년 3분기,451.48
2020년 2분기,428.74
2020년 1분기,228.06
'19년 4분기,270.0
'19년 3분기,197.95
2019년 2분기,181.1
'19년 1분기,169.34
'18년 4분기,200.03
'18년 3분기,150.37
'18년 2분기,132.39
'18년 1분기,120.91
'17년 4분기,136.27
'17년 3분기,106.38
2017년 2분기,101.69
'17년 1분기,96.89
'16년 4분기,110.21
'16년 3분기,87.56
'16년 2분기,85.35
'16년 1분기,81.85
'15년 4분기,87.9
'15년 3분기,65.7
'15년 2분기,61.37
'15년 1분기,58.54
'14년 4분기,64.91
'14년 3분기,47.63
'14년 2분기,42.51
'14년 1분기,40.54
'13년 4분기,41.56
'13년 3분기,29.96
'13년 2분기,27.36
'13년 1분기,26.14
