특성,배럴당 미국 달러로 표시되는 평균 원유 가격
2021*,63.16
2020,41.96
2019,64.3
2018,71.34
2017년,54.25
2016년,43.67
2015년,52.32
2014년,98.97
2013년,108.56
2012,111.63
2011년,111.26
2010년,79.47
2009년,61.51
2008년,96.99
2007년,72.52
2006년,65.14
2005년,54.38
2004년,38.1
2003년,28.83
2002년,25.01
2001년,24.45
2000,28.4
1999년,17.9
1998년,12.8
1997년,19.1
1996년,20.8
1995년,17.2
1994년,16.0
1993년,17.1
1992년,19.4
1991년,20.1
1990년,23.8
1989년,18.2
1988년,15.0
1987년,18.4
1986년,14.4
1985년,27.5
1984년,28.7
1983년,29.6
1982년,33.0
1981년,35.9
1980년,36.8
1979년,31.6
1978년,14.0
1977년,13.9
1976년,12.8
