특성,수백만 명의 참석자
2020년 1월 1일 - 2020년 12월 31일,75.19
2019년 1월 1일 - 2019년 12월 31일,356.0
2018년 1월 1일 - 2018년 12월 31일,359.0
2017년 1월 1일 - 2017년 12월 31일,346.76
2016년 1월 1일 - 2016년 12월 31일,215.15
2015년 1월 1일 - 2015년 12월 31일,196.9
2014년 1월 1일 - 2014년 12월 31일,187.24
2013년 1월 1일 - 2013년 12월 31일,199.27
2012년 8월 31일 - 2012년 12월 31일,60.34
2012년 3월 30일 - 2012년 8월 30일,90.62
2011 회계연도(2011년 4월 1일 - 2012년 3월 29일),194.21
2010 회계연도(2010년 4월 2일 - 2011년 3월 31일),194.41
2009 회계연도(2009년 4월 3일 - 2010년 4월 1일),200.29
2008 회계연도(2008년 4월 4일 - 2009년 4월 2일),196.18
2007 회계연도(2007년 3월 30일 - 2008년 4월 3일),207.6
2006 회계연도(2006년 3월 31일 - 2007년 3월 29일),213.04
