특성,국내 총생산(단위: 10억 달러)
2026*,161.96
2025*,153.76
2024*,145.82
2023*,138.35
2022*,131.31
2021*,124.0
2020*,113.55
2019,119.7
2018,118.1
2017년,109.68
2016년,103.31
2015년,101.18
2014년,110.08
2013년,106.83
2012,98.27
2011년,101.37
2010년,93.22
2009년,92.9
2008년,92.51
2007년,79.04
2006년,68.64
2005년,62.34
2004년,59.63
2003년,52.06
2002년,42.24
2001년,39.46
2000,38.86
1999년,41.63
1998년,41.81
1997년,39.15
1996년,43.16
1995년,39.03
1994년,35.61
1993년,31.66
1992년,33.71
1991년,32.29
1990년,30.18
1989년,26.71
1988년,25.95
1987년,21.91
1986년,19.86
