회계 분기,수익(미화 10억 달러)
'14년 4분기,0.41
'14년 3분기,0.44
'14년 2분기,0.46
'14년 1분기,0.97
'13년 4분기,0.57
'13년 3분기,0.73
'13년 2분기,0.96
'13년 1분기,2.14
'12년 4분기,0.82
'12년 3분기,1.06
2012년 2분기,1.21
'12년 1분기,2.53
'11년 4분기,1.1
'11년 3분기,1.33
'11년 2분기,1.6
'11년 1분기,3.43
'10년 4분기,1.48
'10년 3분기,1.55
'10년 2분기,1.86
'10년 1분기,3.39
2009년 4분기,1.56
2009년 3분기,1.49
2009년 2분기,1.67
2009년 1분기,3.37
2008년 4분기,1.66
2008년 3분기,1.68
2008년 2분기,1.82
2008년 1분기,4.0
2007년 4분기,1.62
2007년 3분기,1.57
2007년 2분기,1.69
2007년 1분기,3.43
2006년 4분기,1.56
2006년 3분기,1.5
2006년 2분기,1.71
2006년 1분기,2.91
