특성,월간 활성 사용자(MAU) 수(백만)
2021년 1분기,423
2020년 4분기,419
2020년 3분기,413
2020년 2분기,410
2020년 1분기,406
2019년 4분기,394
2019년 3분기,387
2019년 2분기,385
2019년 1분기,384
2018년 4분기,381
2018년 3분기,375
2018년 2분기,376
2018년 1분기,377
2017년 4분기,370
2017년 3분기,364
2017년 2분기,360
2017년 1분기,354
2016년 4분기,349
2016년 3분기,342
2016년 2분기,338
2016년 1분기,333
2015년 4분기,323
2015년 3분기,315
2015년 2분기,311
2015년 1분기,307
2014년 4분기,301
2014년 3분기,296
2014년 2분기,292
2014년 1분기,289
2013년 4분기,282
2013년 3분기,276
2013년 2분기,272
2013년 1분기,269
2012년 4분기,261
