대학 또는 대학,평균 점수(25번째 백분위수)
칼텍,2160
하버드,2120
프린스턴,2120
예일 대학,2110
콜롬비아,2100
MIT,2090
스탠포드,2080
밴더빌트,2070
북서부,2060
다트머스,2030
술,2030
유펜,2030
공작,2020
쌀,2020
갈색,1990
카네기 멜론,1970
존스홉킨스,1950
에모리,1920
USC,1910
보스턴 칼리지,1900
뉴욕대,1890
툴란,1890
버지니아대학교,1890
미시간,1880
버클리,1870
윌리엄과 메리,1870
조지아텍,1860
브랜다이스,1850
GWU,1830
마이애미대학교,1820
UNC,1790
보스턴대학교,1780
UCLA,1760
오하이오 주,1700
페퍼다인,1680
UCSD,1660
UC 산타바바라,1640
펜 스테이트,1630
러트거스,1620
UC 데이비스,1620
U 워싱턴,1600
시라쿠사,1570
UC 어바인,1530
워싱턴대학교,1420
시카고대학교,1400
노트르담,1340
코넬,1310
조지타운,1290
리하이,1200
