특성,백만 달러 단위의 수익
2021년 1분기,2275
2020년 4분기,2413
2020년 3분기,1954
2020년 2분기,1932
2020년 1분기,1788
'19년 4분기,1986
'19년 3분기,1282
2019년 2분기,1396
'19년 1분기,1825
'18년 4분기,2381
'18년 3분기,1512
'18년 2분기,1641
'18년 1분기,1965
'17년 4분기,2043
'17년 3분기,1618
2017년 2분기,1631
'17년 1분기,1726
'16년 4분기,2014
'16년 3분기,1568
'16년 2분기,1570
'16년 1분기,1455
'15년 4분기,1353
'15년 3분기,990
'15년 2분기,1044
'15년 1분기,1278
'14년 4분기,1575
'14년 3분기,753
'14년 2분기,970
'14년 1분기,1111
'13년 4분기,1518
'13년 3분기,691
'13년 2분기,1050
'13년 1분기,1324
'12년 4분기,1768
'12년 3분기,841
