특성,1인당 GDP(미국 달러)
2026*,797.34
2025*,784.55
2024*,772.81
2023*,767.2
2022*,769.4
2021*,787.44
2020*,775.04
2019*,776.55
2018*,854.87
2017*,1172.97
2016*,1638.51
2015*,1698.08
2014*,1628.5
2013*,1462.58
2012년 *,1396.29
2011년,2034.46
2010년,1637.42
2009년,1401.24
2008년,1700.51
2007년,1599.6
2006년,1249.77
2005년,996.68
2004년,772.94
2003년,635.58
2002년,554.65
2001년,492.68
2000,422.32
1999년,352.44
1998년,366.58
1997년,350.72
1996년,292.91
1995년,239.51
1994년,205.92
1993년,186.51
1992년,113.48
1991년,95.29
1990년,87.2
1989년,696.39
1988년,404.71
1987년,516.78
1986년,328.59
