특성,국내총생산(10억 국제달러)
2026*,107.59
2025*,106.34
2024*,105.41
2023*,104.47
2022*,102.91
2021*,100.68
2020*,95.85
2019,104.99
2018,100.99
2017년,103.45
2016년,104.34
2015년,103.38
2014년,102.45
2013년,102.45
2012,101.57
2011년,100.35
2010년,98.38
2009년,96.39
2008년,93.64
2007년,89.52
2006년,87.28
2005년,83.92
2004년,80.32
2003년,75.83
2002년,72.55
2001년,69.67
2000,61.7
1999년,57.84
1998년,54.09
1997년,48.19
1996년,45.34
1995년,42.65
1994년,39.69
1993년,36.92
1992년,34.63
1991년,32.29
1990년,30.6
1989년,28.27
1988년,26.18
1987년,23.88
1986년,21.97
