특성,지출(백만 GBP)
2020년 4분기,25807
2020년 3분기,25708
2020년 2분기,26208
2020년 1분기,25656
2019년 4분기,24075
2019년 3분기,23819
2019년 2분기,23730
2019년 1분기,23592
2018년 4분기,23626
2018년 3분기,23324
2018년 2분기,23183
2018년 1분기,23163
2017년 4분기,22935
2017년 3분기,22599
2017년 2분기,22446
2017년 1분기,22105
2016년 4분기,21959
2016년 3분기,21841
2016년 2분기,21407
2016년 1분기,21038
2015년 4분기,20612
2015년 3분기,20289
2015년 2분기,20179
2015년 1분기,20076
2014년 4분기,20566
2014년 3분기,20941
2014년 2분기,20870
2014년 1분기,20819
2013년 4분기,20792
2013년 3분기,20517
2013년 2분기,20263
2013년 1분기,20156
2012년 4분기,20137
2012년 3분기,19558
2012년 2분기,19384
2012년 1분기,19578
