특성,백만 유로 단위의 무역 수지 가치
2020년 8월,348
2020년 7월,3003
2020년 6월,1552
2020년 5월,1505
2020년 4월,-977
2020년 3월,602
2020년 2월,1018
2020년 1월,-394
2019년 12월,-1799
2019년 11월,-466
2019년 10월,607
2019년 9월,-99
2019년 8월,-442
2019년 7월,2087
2019년 6월,706
2019년 5월,1051
2019년 4월,-77
2019년 3월,-121
2019년 2월,-182
2019년 1월,-200
2018년 12월,-2153
2018년 11월,-540
2018년 10월,-166
2018년 9월,209
2018년 8월,-11
2018년 7월,1477
2018년 6월,652
2018년 5월,181
2018년 4월,348
2018년 3월,-27
2018년 2월,414
2018년 1월,-554
2017년 12월,-1756
2017년 11월,-995
2017년 10월,-417
2017년 9월,747
2017년 8월,425
2017년 7월,1872
2017년 6월,1138
2017년 5월,1681
2017년 4월,1129
2017년 3월,1074
2017년 2월,360
2017년 1월,699
