특성,응답자 비율
2021년 4월 11일,84%
2021년 3월 28일,83%
2021년 3월 14일,85%
2021년 2월 28일,84%
2021년 2월 14일,86%
2021년 1월 31일,88%
2021년 1월 17일,88%
2021년 1월 3일,84%
2020년 12월 20일,85%
2020년 12월 6일,87%
2020년 11월 22일,86%
2020년 11월 8일,88%
2020년 10월 25일,89%
2020년 10월 11일,89%
2020년 9월 27일,85%
2020년 9월 20일,79%
2020년 9월 13일,86%
2020년 8월 30일,87%
2020년 8월 20일,80%
2020년 8월 16일,87%
2020년 8월 7일,82%
2020년 8월 2일,84%
2020년 7월 22일,81%
2020년 7월 19일,83%
2020년 7월 9일,80%
2020년 7월 5일,86%
2020년 6월 25일,80%
2020년 6월 21일,86%
2020년 6월 9일,78%
2020년 6월 7일,85%
2020년 5월 29일,81%
2020년 5월 24일,88%
2020년 5월 13일,79%
2020년 5월 3일,85%
2020년 4월 26일,87%
2020년 4월 19일,85%
2020년 4월 12일,86%
2020년 4월 5일,89%
2020년 3월 29일,90%
2020년 3월 22일,90%
2020년 3월 15일,83%
2020년 3월 8일,83%
2020년 3월 1일,81%
2020년 2월 23일,80%
