특성,지수 점수(100점 척도)
메디케어 처방약 플랜 비용에 대한 SSA 추가 지원 socialsecurity.gov/i1020,92
SSA 퇴직 추정기 ssa.gov/estimator,91
SSA - 나의 사회보장 ssa.gov/myaccount,90
OPM 인사 관리 사무소: 퇴직 서비스 servicesonline.opm.gov,88
재무부 전자 연방 세금 납부 시스템 eftps.com,88
DHS 미국 시민권 및 이민 서비스 자원 센터 uscis.gov/portal/site/uscis/citizenship,87
SSA SSA iClaim – 장애 ssa.gov/applyfordisability,85
NASA NASA 메인 웹사이트 nasa.gov,85
"HHS 국립 심장, 폐 및 혈액 연구소 nhlbi.nih.gov",84
DHS 미국 시민권 및 이민 서비스 Español uscis.gov/portal/site/uscis-es,84
"HHS 국립 당뇨병, 소화기 및 신장 질환 연구소 niddk.nih.gov",83
SEC 미국 증권거래위원회Investor.gov,82
FTC FTC 불만사항 지원 웹사이트 ftccomplaintassistant.gov,82
HHS AIDSinfoaidsinfo.nih.gov,82
HHS 질병통제예방센터 cdc.gov,80
