특성,지수 (2005년 12월=100)
2021년 1분기,143.7
2020년 4분기,142.4
2020년 3분기,141.4
2020년 2분기,140.7
2020년 1분기,140.0
'19년 4분기,138.9
'19년 3분기,138.0
2019년 2분기,137.0
'19년 1분기,136.2
'18년 4분기,135.2
'18년 3분기,134.3
'18년 2분기,133.3
'18년 1분기,132.5
'17년 4분기,131.4
'17년 3분기,130.6
2017년 2분기,129.7
'17년 1분기,129.0
'16년 4분기,128.0
'16년 3분기,127.4
'16년 2분기,126.7
'16년 1분기,126.0
'15년 4분기,125.2
'15년 3분기,124.5
'15년 2분기,123.8
'15년 1분기,123.6
'14년 4분기,122.8
'14년 3분기,122.2
'14년 2분기,121.4
'14년 1분기,120.5
'13년 4분기,120.1
'13년 3분기,119.5
'13년 2분기,119.0
'13년 1분기,118.4
'12년 4분기,117.8
'12년 3분기,117.3
2012년 2분기,116.8
'12년 1분기,116.2
'11년 4분기,115.7
'11년 3분기,115.1
'11년 2분기,114.8
'11년 1분기,114.0
'10년 4분기,113.3
'10년 3분기,112.8
'10년 2분기,112.3
'10년 1분기,111.8
