"날짜, 장소",영향을 받은 사람의 수
"2008년 6월 9일 - 6월 30일, 일리노이, 아이오와, 캔자스",11000148
"2016년 8월 9일 - 8월 16일, 루이지애나, 미시시피, 미주리, 일리노이, 인디애나",330000
"1996년 1월 15일 - 1월 21일, 네바다, 애리조나, 뉴멕시코",200000
"2002년 6월 30일 - 7월 23일, 뉴 브라운펠스, 반데라",144000
"1997년 1월 1일 - 2월 7일, 네바다, 아이다호, 캘리포니아",125000
"1980년 2월 19일, 남부 캘리포니아",106000
"2014년 8월 11일 - 8월 13일, 중서부, 북동부, 중부 대서양",102000
"1995년 5월 8일, 사우스다코타",75000
"2006년 6월 25일 - 7월 1일, 펜실베니아 주 메릴랜드",65000
"1997년 4월 17일 - 5월 7일, 그랜드포크스, 파고",50400
"1993년 6월 24일 - 8월 23일, 오클라호마, 미네소타, 위스콘신",31000
"2008년 12월 29일 - 2009년 1월 16일, Orting, Chehalis",30000
