"도시, 국가(날짜), 기관",사망자 수
"여러 위치, 스리랑카(이라크 레반트 이슬람 국가(ISIL))(2019년 4월 21일)",266
"오고소구 및 웰링가라, 말리(Dan Na Ambassagou)(2019년 3월 23일)",157
아프가니스탄 마이단 샤르 지구(탈레반)(2019년 1월 21일),129
"다락, 카메룬(보코하람) (2019/6/9)",101
아프가니스탄 카불 (이슬람국가 호라산 지부) (2019년 8월 17일),93
"모가디슈, 소말리아(알샤바브)(2019/12/28)",84
아프가니스탄 조다라(이슬람국가 호라산 지부)(2019년 10월 18일),74
나이지리아 바두(보코하람) (2019/7/27),70
"샤카르 실리(Shakar Shili)와 마지드 초크(Majid Chawk), 아프가니스탄(탈레반)(2019년 3월 23일)",65
"란, 나이지리아(보코하람)(2020년 1월 28일)",60
부르키나파소 아르빈다(대사하라 이슬람 국가(ISGS)) (2019년 12월 24일),57
"Boulikessi 및 Mondoro, 말리(Jamaat Nusrat Al-Islam Wal Islamin(JNIM))(2019/9/30)",53
뉴질랜드 크라이스트처치(반이슬람 극단주의자)(2019년 3월 15일),51
아프가니스탄 코라 지구(탈레반)(2019/5/30),51
"바구즈, 시리아(이라크 레반트 이슬람 국가(ISIL)) (2019년 1월 24일)",50
"다바 라미, 카메룬(보코하람) (2019.12.22)",50
인도 레포라(Jaish-e-Mohammad(JEM))(2019/2/14),41
아프가니스탄 쿤두즈(탈레반) (2019년 4월 13일),41
아프가니스탄 마루프 지구(탈레반)(2019/6/30),40
"아덴, 예멘(후티 극단주의자(안사르 알라))(2019년 8월 1일)",40
