특성,소비자물가지수(2015=100)
2021년 2월,117.57
2021년 1월,117.52
2020년 12월,117.25
2020년 11월,117.09
2020년 10월,117.13
2020년 9월,116.31
2020년 8월,116.3
2020년 7월,116.28
2020년 6월,115.55
2020년 5월,115.08
2020년 4월,114.92
2020년 3월,114.95
2020년 2월,115.02
2020년 1월,114.69
2019년 12월,114.23
2019년 11월,114.12
2019년 10월,113.99
2019년 9월,113.97
2019년 8월,113.76
2019년 7월,113.69
2019년 6월,113.04
2019년 5월,112.42
2019년 4월,112.45
2019년 3월,112.48
2019년 2월,112.18
2019년 1월,111.58
2018년 12월,109.44
2018년 11월,109.1
2018년 10월,108.93
2018년 9월,108.53
2018년 8월,108.77
2018년 7월,108.62
2018년 6월,107.9
2018년 5월,107.74
2018년 4월,107.52
2018년 3월,107.08
2018년 2월,106.88
2018년 1월,106.8
