특성,월간 사용자 수(백만)
알파벳 주식회사,185.9
"페이스북, Inc.",176.02
"Amazon.com, Inc.",158.91
버라이존 커뮤니케이션즈(Verizon Communications Inc.),129.21
마이크로 소프트 회사,116.12
애플 주식회사,104.87
"페이팔 홀딩스, Inc.",100.64
"월마트 스토어, Inc.",92.76
"위키미디어 재단, Inc.",91.4
컴캐스트 주식회사,88.73
AT&T 주식회사,82.72
"트위터, Inc.",81.82
"내셔널 어뮤즈먼츠, Inc.",81.65
IAC/InterActiveCorp,72.46
삼성그룹,71.21
날씨 회사,69.07
허스트 코퍼레이션,66.93
월트 디즈니 컴퍼니,66.93
"핀터레스트, Inc.",66.91
이베이 주식회사,65.89
뉴스코프,60.64
타임 주식회사,51.53
21세기폭스 주식회사,50.71
레딧 주식회사,47.98
이보타(주),47.07
"넷플릭스, Inc.",46.56
"스냅챗, Inc.",45.98
타겟코퍼레이션,45.54
스포티파이 주식회사,44.31
"사전 출판물, Inc.",43.43
