특성,수익(백만 GBP)
2020년 4분기,5286
2020년 3분기,5477
2020년 2분기,5357
2020년 1분기,5250
2019년 4분기,5632
2019년 3분기,5779
2019년 2분기,5780
2019년 1분기,5633
2018년 4분기,5853
2018년 3분기,5982
2018년 2분기,5908
2018년 1분기,5716
2017년 4분기,5926
2017년 3분기,6065
2017년 2분기,5935
2017년 1분기,5835
2016년 4분기,6089
2016년 3분기,6166
2016년 2분기,6074
2016년 1분기,5778
2015년 4분기,5640
2015년 3분기,4587
2015년 2분기,4377
2015년 1분기,4275
2014년 4분기,4639
2014년 3분기,4599
2014년 2분기,4383
2014년 1분기,4354
2013년 4분기,4748
2013년 3분기,4599
2013년 2분기,4491
2013년 1분기,4449
2012년 4분기,4815
2012년 3분기,4527
2012년 2분기,4493
2012년 1분기,4504
