특성,백만 유로 단위의 시가총액
2021년 3월,20273.44
2021년 2월,19109.91
2021년 1월,16972.32
2020년 12월,17191.0
2020년 11월,19495.8
2020년 10월,14179.21
2020년 9월,15803.64
2020년 8월,18761.42
2020년 7월,17532.36
2020년 6월,18288.99
2020년 5월,17161.31
2020년 4월,15962.26
2020년 3월,16072.68
2020년 2월,25694.65
2020년 1월,27147.84
2019년 12월,29179.65
2019년 11월,28098.4
2019년 10월,25308.35
2019년 9월,24228.42
2019년 8월,22645.35
2019년 7월,23841.14
2019년 6월,24169.42
2019년 5월,22515.69
2019년 4월,27552.38
2019년 3월,25372.39
2019년 2월,26565.36
2019년 1월,22635.07
2018년 12월,21924.0
2018년 11월,25488.19
2018년 10월,25342.82
2018년 9월,28900.6
2018년 8월,27848.52
2018년 7월,33909.74
2018년 6월,31998.52
2018년 5월,31885.24
2018년 4월,40021.99
2018년 3월,37794.17
2018년 2월,38954.43
2018년 1월,39462.46
2017년 12월,34955.17
2017년 11월,38053.89
2017년 10월,36863.22
2017년 9월,40103.99
2017년 8월,38058.42
2017년 7월,37020.3
