특성,미화 1조 달러 규모의 소비자 신용 부채
2020년 3분기,4.16
2020년 2분기,4.14
2020년 1분기,4.2
2019년 4분기,4.14
2019년 3분기,4.14
2019년 2분기,4.09
2019년 1분기,4.05
2018년 4분기,3.99
2018년 3분기,3.96
2018년 2분기,3.89
2018년 1분기,3.86
2017년 4분기,3.85
2017년 3분기,3.74
2017년 2분기,3.69
2017년 1분기,3.65
2016년 3분기,3.59
2016년 2분기,3.53
2016년 1분기,3.47
2015년 4분기,3.42
2015년 3분기,3.5
2015년 2분기,3.44
2015년 1분기,3.37
2014년 4분기,3.32
2014년 3분기,3.26
2014년 2분기,3.21
2014년 1분기,3.15
2013년 4분기,3.1
2013년 3분기,3.05
2013년 2분기,3.0
2013년 1분기,2.97
2012년 4분기,2.92
2012년 3분기,2.87
2012년 2분기,2.84
2012년 1분기,2.79
2011년 4분기,2.76
2011년 3분기,2.72
2011년 2분기,2.69
2011년 1분기,2.67
