특성,판매된 단위
2020년 12월,502
'20년 11월,535
2020년 10월,568
2020년 9월,932
'20년 8월,655
2020년 7월,1171
2020년 6월,1113
20년 5월,348
2020년 4월,91
2020년 3월,792
2020년 2월,262
2020년 1월,366
19년 12월,286
'19년 11월,358
19년 10월,593
'19년 9월,950
'19년 8월,566
'19년 7월,843
19년 6월,870
19년 5월,816
'19년 4월,726
'19년 3월,1069
'19년 2월,248
19년 1월,368
'18년 12월,278
'18년 11월,354
18년 10월,494
'18년 9월,744
'18년 8월,588
'18년 7월,804
18년 6월,1090
18년 5월,1086
'18년 4월,863
'18년 3월,1320
'18년 2월,314
'18년 1월,347
'17년 12월,245
'17년 11월,429
'17년 10월,644
'17년 9월,847
'17년 8월,592
'17년 7월,800
'17년 6월,1019
'17년 5월,952
'17년 4월,857
'17년 3월,1079
'17년 2월,230
'17년 1월,340
