특성,지수(2015=100)
7월 20일,114.6
6월 20일,115.6
5월 20일,117.8
4월 20일,104.1
3월 20일,111.1
2월 20일,113.6
1월 20일,112.5
12월 19일,110.8
11월 19일,112.4
10월 19일,110.8
9월 19일,111.3
8월 19일,111.0
7월 19일,110.9
6월 19일,111.4
5월 19일,109.3
4월 19일,110.5
3월 19일,110.8
2월 19일,110.6
1월 19일,110.1
12월 18일,107.8
11월 18일,108.9
10월 18일,108.4
9월 18일,107.1
8월 18일,107.4
7월 18일,107.6
6월 18일,107.6
5월 18일,107.6
4월 18일,109.3
3월 18일,106.4
2월 18일,105.3
1월 18일,106.1
12월 17일,108.3
11월 17일,106.8
10월 17일,106.0
9월 17일,106.9
8월 17일,105.3
7월 17일,105.8
6월 17일,105.7
5월 17일,106.1
4월 17일,104.8
3월 17일,106.4
2월 17일,103.8
1월 17일,103.2
12월 16일,104.4
11월 16일,102.5
10월 16일,104.7
9월 16일,101.3
8월 16일,102.5
