특성,리트윗 수
마에자와 유사쿠: 메시지를 리트윗하고 팔로우한 무작위로 선정된 100명에게 각 100만엔 제공('19년 1월),4.4
"마에자와 유사쿠 : 1,000명에게 10억엔을 약속하는 경품('19년 12월)",3.8
Carter Wilkerson: Wendys 무료 치킨 너겟(2017년 4월),3.4
엘렌 드제너러스(Ellen DeGeneres): 2014년 오스카상 사진('14년 3월),3.1
"루이스 톰린슨: 항상 내 마음 속에 @Harry_Styles. 진심으로 감사드립니다, Louis('11년 10월)",2.6
엘 루비우스: LIMONADA ('16년 8월),1.8
"버락 오바마: ""태어날 때부터 피부색 때문에 다른 사람을 미워하는 사람은 없습니다...""(2017년 8월)",1.6
엘 루비우스: LIMONADA 2.0('18년 9월),1.5
"방탄소년단: ""Never not""(퍼플 하트 이모티콘)(정국 노래 커버)(2020년 5월)",1.4
BTS: Duh(이모티콘)(Billie Eilish의 히트곡 'Bad Guy'에 맞춰 춤을 추는 정국),1.3
