특성,백만 유로 단위의 GDP
독일,3336180.0
영국 *,2283737.0
프랑스,2278947.0
이탈리아,1651594.9
스페인,1121698.0
네덜란드,798674.0
스위스,655977.7
칠면조,626703.6
폴란드,523038.3
스웨덴,474724.4
벨기에,451176.9
오스트리아,377297.2
아일랜드,366506.1
노르웨이,318335.7
덴마크,311726.0
핀란드,237467.0
루마니아,218165.2
체코,213661.0
포르투갈,202455.3
그리스,165829.8
헝가리,135924.5
슬로바키아,91555.3
룩셈부르크,64143.1
불가리아,60642.7
크로아티아,49283.3
리투아니아,48929.7
세르비아,46467.5
슬로베니아,46297.2
라트비아,29334.0
에스토니아,27166.9
키프로스,20840.7
아이슬란드,19022.2
보스니아 헤르체고비나**,18046.4
몰타,12701.4
알바니아,10766.3
북 마케도니아,10766.3
코소보***,6804.2
리히텐슈타인**,5971.8
몬테네그로,4193.2
