특성,전년대비 인플레이션율
2026*,2.02%
2025*,2.02%
2024*,2.02%
2023*,1.96%
2022*,1.97%
2021*,2.72%
2020,3.44%
2019,-2.09%
2018,2.45%
2017년,-0.81%
2016년,2.05%
2015년,1.22%
2014년,2.2%
2013년,3.52%
2012,2.88%
2011년,3.76%
2010년,3.78%
2009년,4.18%
2008년,6.08%
2007년,5.06%
2006년,1.9%
2005년,0.55%
2004년,0.27%
2003년,0.55%
2002년,0.14%
2001년,-1.22%
2000,-1.08%
1999년,-2.11%
1998년,-0.39%
1997년,-0.26%
1996년,0.26%
1995년,5.25%
1994년,1.26%
1993년,1.28%
1992년,-0.98%
1991년,3.79%
1990년,-1.01%
1989년,1.17%
1988년,-0.35%
1987년,-2.39%
1986년,-3.12%
