특성,이전 기간 대비 변화율
2021년 1분기,6.4%
2020년 4분기,4.3%
2020년 3분기,33.4%
2020년 2분기,-31.4%
2020년 1분기,-5%
'19년 4분기,2.4%
'19년 3분기,2.6%
2019년 2분기,1.5%
'19년 1분기,2.9%
'18년 4분기,1.3%
'18년 3분기,2.1%
'18년 2분기,2.7%
'18년 1분기,3.8%
'17년 4분기,3.5%
'17년 3분기,3.2%
2017년 2분기,2.2%
'17년 1분기,2.3%
'16년 4분기,2%
'16년 3분기,2.2%
'16년 2분기,1.9%
'16년 1분기,2%
'15년 4분기,0.1%
'15년 3분기,1.3%
'15년 2분기,삼%
'15년 1분기,3.2%
'14년 4분기,2.3%
'14년 3분기,5%
'14년 2분기,5.5%
'14년 1분기,-1.1%
'13년 4분기,3.2%
'13년 3분기,3.2%
'13년 2분기,0.5%
'13년 1분기,3.6%
'12년 4분기,0.5%
'12년 3분기,0.5%
2012년 2분기,1.7%
'12년 1분기,3.2%
'11년 4분기,4.7%
'11년 3분기,-0.1%
'11년 2분기,2.9%
'11년 1분기,-1%
