특성,Revolut 거래의 월별 변화
스카이캐시,-65%
Booking.com,-64%
코스타 커피,-61%
그린카페 네로,-60%
엠픽,-59%
Jak Dojadę,-58%
스타벅스,-58%
모빌렛,-57%
PKP 인터시티,-57%
TK 맥스,-57%
버거 킹,-53%
십종 경기,-51%
이케아,-49%
볼트,-48%
맥도날드,-47%
우버,-45%
Dallmayr 판매 및 사무실,-45%
KFC,-45%
인미디어,-45%
자동화 UVP,-43%
자동결제,-33%
DBam o zdrowie,10%
알리 익스프레스,12%
피츠네,20%
넷플릭스,20%
스포티 파이,25%
HBO,25%
르클레르,27%
비에드론카,31%
인터마르쉐,32%
네토,34%
오샹,39%
딜리케이트 센트럼,42%
알레그로,42%
스토크로트카,44%
레위아탄,44%
UBER Eats,46%
월트,49%
닌텐도,49%
표트르 이 파베우,60%
TVN,76%
플레이 스테이션,87%
스팀 게임,109%
글로보,122%
