특성,평방피트 테이크업
'21년 4월,101850
'21년 3월,369260
'21년 2월,154077
'21년 1월,41195
2020년 12월,205780
'20년 11월,77132
2020년 10월,57368
2020년 9월,174851
'20년 8월,147578
2020년 7월,63890
2020년 6월,187678
20년 5월,108913
2020년 4월,41723
2020년 3월,160932
2020년 2월,223704
2020년 1월,277588
19년 12월,654769
'19년 11월,293023
19년 10월,478534
'19년 9월,319776
'19년 8월,151140
'19년 7월,462193
19년 6월,223455
19년 5월,312301
'19년 4월,300856
'19년 3월,420802
'19년 2월,585354
19년 1월,235461
'18년 12월,457935
'18년 11월,349030
18년 10월,477941
'18년 9월,148833
'18년 8월,283074
'18년 7월,1192648
18년 6월,525288
18년 5월,295141
'18년 4월,289756
'18년 3월,444038
'18년 2월,290660
'18년 1월,353624
