특성,2017년 폭풍 피해액(미화 20억 달러)
카트리나 (2005),170.0
하비 (2017),131.3
마리아 (2017),94.5
샌디 (2012),74.1
이르마 (2017),52.5
앤드류 (1992),50.5
아이크 (2008),36.9
이반 (2004),28.7
윌마 (2005),25.8
마이클 (2018),25.5
리타 (2005),25.2
플로렌스 (2018),24.5
찰리 (2004),22.4
휴고 (1989),19.3
아이린 (2011),15.8
프랜시스 (2004),13.7
아그네스 (1972),13.0
앨리슨 (2001),12.6
베시 (1965),11.6
매튜 (2016),10.9
잔느 (2004),10.5
플로이드 (1999),10.2
카밀 (1969),10.0
조르주 (1998),9.6
프랜 (1996),8.4
다이앤 (1955),8.1
오팔 (1995),8.1
알리시아 (1983),7.9
이사벨 (2003),7.8
구스타프 (2008),7.4
셀리아 (1970),6.2
프레데릭 (1979),6.1
이니키 (1992),5.8
롱아일랜드 익스프레스(1938),5.6
이멜다 (2019),5.1
거대 대서양 허리케인(1944),5.1
캐롤 (1954),4.4
후안 (1985),3.7
마릴린 (1995),3.6
도나 (1960),3.4
데니스 (2005),3.4
엘레나 (1985),3.2
이삭 (2012),3.2
