특성,고민하는 응답자의 비율
2021년 5월 11일~12일,54%
2021년 2월 23일~24일,69%
2021년 1월 20일~21일,73%
2021년 1월 5일~6일,71%
2020년 11월 17일~18일,69%
2020년 10월 29일,78%
2020년 10월 13일~14일,71%
2020년 9월 30일~10월 1일,69%
2020년 9월 25일,68%
2020년 9월 8~9일,67%
2020년 8월 13일~14일,73%
2020년 7월 9일부터 10일까지,69%
2020년 6월 23일~24일,65%
2020년 6월 10일~11일,62%
2020년 5월 26일~27일,65%
2020년 5월 12일~13일,76%
2020년 4월 28일~29일,78%
2020년 4월 15일~16일,75%
2020년 4월 1~2일,82%
2020년 3월 26일~27일,79%
2020년 3월 24일~25일,85%
2020년 3월 19일~20일,84%
2020년 3월 15일,74%
2020년 3월 5일,47%
2020년 2월 27일~28일,61%
2020년 1월 29일~30일,44%
